Common,Latin,Bronx,Brooklyn,Queens,Manhattan,Staten Island
ALDER,ALNUS,5,4,21,,3
AMUR MAACKIA,MAACKIA,3,5,28,,13
APPLE,MALUS,149,381,835,418,293
ASH,FRAXINUS,2235,4766,10053,920,3738
BEECH,FAGUS,8,36,33,3,9
BIRCH,BETULA,90,278,313,67,243
BLACK LOCUST,ROBINIA,726,985,1389,910,344
CATALPA,CATALPA,118,109,243,,25
CEDAR,CEDRUS,9,39,75,1,21
CHERRY,PRUNUS,1168,3400,8684,678,3320
CORK TREE,PHELLODENDRON,6,12,9,,3
COTTONWOOD,POPULUS,10,30,46,,7
CYPRESS,TAXODIUM,143,542,593,61,260
DAWN REDWOOD,METASEQUOIA,44,329,342,65,96
DOGWOOD,CORNUS,207,352,1118,81,413
DOUGLAS FIR,PSEUDOTSUGA,4,21,18,3,9
EASTERN REDCEDAR,JUNIPERUS,72,58,184,1,43
ELM,ULMUS,1248,2256,2322,1659,685
EMPRESS TREE,PAULOWNIA,3,8,20,,12
FRINGE TREE,CHIONANTHUS,,,36,,1
GINKGO,GINKGO,1972,3863,4957,4893,584
GOLDEN-CHAIN TREE,LABURNUM,1,6,2,,
GOLDENRAIN TREE,KOELREUTERIA,83,144,280,87,93
HACKBERRY,CELTIS,261,255,637,172,393
HARDY RUBBER TREE,EUCOMMIA,5,5,2,,3
HAWTHORN,CRATAEGUS,99,165,257,274,105
HEMLOCK,TSUGA,52,62,80,4,16
HICKORY,CARYA,,,,3,
HOLLY,ILEX,14,87,68,14,17
Hophornbeam,Ostrya,,1,7,,3
HORNBEAM,CARPINUS,145,309,436,68,88
HORSECHESTNUT,AESCULUS,80,172,611,1,205
JAPANESE SNOWBELL,STYRAX,14,32,63,10,26
JAPANESE TREE LILAC,SYRINGA,55,223,408,55,163
KATSURA,CERCIDIPHYLLUM,99,136,229,47,
KENTUCKY COFFEETREE,GYMNOCLADUS,59,281,153,138,69
LARCH,LARIX,,1,3,,1
LINDEN,TILIA,4732,12082,17675,4324,2382
LOCUST,GLEDITSIA,7579,12484,17154,11529,3488
MAGNOLIA,MAGNOLIA,110,169,345,58,193
MAPLE,ACER,12661,23938,72116,1020,27474
MOUNTAINASH,SORBUS,1,,2,1,2
MULBERRY,MORUS,237,233,556,16,182
OAK,QUERCUS,7545,13537,26787,4884,8798
OSAGE-ORANGE,MACLURA,3,2,1,,12
PAGODA TREE,STYPHNOLOBIUM,881,2229,2043,1643,275
PEAR,PYRUS,4476,9488,17455,7751,24508
PERSIMMON,DIOSPYROS,2,5,8,1,
PINE,PINUS,244,515,994,22,448
PLANETREE,PLATANUS,6532,37150,32427,4030,9463
POPLAR,POPLAR,57,71,130,53,117
REDBUD,CERCIS,57,167,293,28,87
SASSAFRAS,SASSAFRAS,5,2,56,,28
SERVICEBERRY,AMELANCHIER,15,67,102,24,29
SILVERBELL,HALESIA,,4,7,2,1
SOURWOOD,OXYDENDRUM,,2,,,
SPRUCE,PICEA,65,358,576,5,311
SWEETGUM,LIQUIDAMBAR,507,1059,1803,126,4895
TREE OF HEAVEN,AILANTHUS,290,482,526,87,111
TULIP TREE,LIRIODENDRON,73,139,271,13,102
TUPELO,NYSSA,4,6,3,,4
TURKISH HAZELNUT,CORYLUS,4,2,58,,15
unknown,unknown,7643,12377,24260,3391,6169
WALNUT,JUGLANS,5,5,60,,18
WILLOW,SALIX,10,36,43,3,14
WITCH HAZEL,HAMAMELIS,1,,,,2
YELLOWOOD,CLADRASTIS,1,3,14,1,2
ZELKOVA,ZELKOVA,2121,4549,4540,2016,1406
,,,,,,
